# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     Started server process [1]
api-1  | INFO:     172.18.0.1:38560 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:34040 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:34020 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:34024 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50788 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50800 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50794 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32768 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32776 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32768 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32776 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32820 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32792 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32806 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32818 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | INFO:     172.18.0.1:56726 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56710 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56718 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38398 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38372 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38384 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50884 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50864 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50874 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46666 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46660 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46662 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | INFO:     172.18.0.1:35448 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35434 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35432 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [HTX RETRY] attempt=1/3 error=htx GET https://api.huobi.pro/market/history/candles?period=1min&symbol=btcusdt&size=250
api-1  | INFO:     172.18.0.1:33146 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33136 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33140 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33146 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33140 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33136 - "GET /analytics/summary HTTP/1.1" 200 OK
